description,category,spec_pred
Physical Disability Rehabilitation (Jan-Dec2025),Medical Malpractice Insurance,
"Physical Disability Rehabilitation (Jan-Dec2025); Contract No.DTN_P.FA-2015-0191 

",Disability Insurance,
Absolut Vodka,Vodka,
"SK_021117 BDIE18 ROD END,021117 BDIE18 ROD END:",Rod End Bearings,
"SP25002441:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409308 Y2024 สายพานB-94 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
Vertical Motion Roller Pin 425-1325A,Bearing Rollers,
IN2025-05615 Knob for DS-200D,Car Gear Knob,
"กระเป๋าแพทย์สะพายใหญ่ 8.5x9.5""",Medical Bags,
ขั้วต่อสายไฟ 32A 0.5-1.5ตร.มม. GIANT KIN,Connectors,
"Ascend Travel : Accommodation on Aug 2025
Date : 28-29 Aug 2025
To : Pattaya
Traveller : Sanong Yumuy",Commercial Airplane Travel,brand -|class -|destination -|item -|itinerary -|routetype -
Cocktail Strainer,Bar Tools,
หัวท้ายรางม่าน ชุด 2 ชิ้น STE AFV26-12/2,"Curtain Poles, Tracks & Accessories",
ชุดสูทและกี่เพ้านอก คละแบบ,Men's Suits,
"Ring Hook to fit on 10.2"" with metal ring",Hooks,
#M500290 Tension gauge spring 22(500757),Other Hardware,
BB5315100ขี้ผึ้งนับแบงค์ เอลเฟ่น(ตลับ),Other Office Equipment,
Perforate Aluminum Sheet Pan DS2010694,Baking Dishes & Pans,
ค่าแพ็คย่อย 100 ชิ้นต่อแพ็ค และติดรายละเอียด Barcode; No.TRU061.T25,Leaflet,brand -|item -|model -|size -
แผ่นรองจาน PVC ลาย KASSA HOME HKPVCW5041,Place Mats,
โวลต์มิเตอร์ PL 500 โวลต์96x96 มม.สีขาว,Voltage Meters,
"PS_6-3135308171 L-SEAL EPDM ARC38-101,6-3135308171 L-SEAL EPDM ARC38-101",Seals,application -|brand -|item -|material -|model -|piece -|size -
ค่าตรวจสุขภาพน.ส.อารียา มนปาน,Employee Physical Screening Service,
โครงการทำเงิน_Arctic Coke_19417,Coke Fuel,
โคมไฟอะคริลิค ลายฮาโลวีน 3D,Wedding Lights,
โครงการทำเงิน_Arctic Coke_480,Coke Fuel,
ค่าตรวจสุขภาพก่อนเข้าทำงาน นางสาวอนัญญา ช่วยรักษ์,Employee Physical Screening Service,
EMC Noise Filter,"Emi/rfi Filters (lc, Rc Networks)",
ค่าบริการซ่อม โดรนทางการเกษตร,Drones Accessories,
ค่าตรวจสุขภาพก่อนเข้าทำงาน นายเอกดนัย คำเห็น,Employee Physical Screening Service,
ล้ออะไหล่รถไฟฟ้า สบาย Z5 40/100,Excavator Wheels,
AMMETER 0-200A,Panel Meters,
ขาตั้งกล้อง Sirui Umbrella Mobile Tripod รุ่น MS-01K,Other Camera Accessories,
ค่าตรวจสุขภาพก่อนเข้าทำงาน นางสาวเบญจวรรณ ลูกจันทร์,Employee Physical Screening Service,
B-Flag barrier-Transprtation Zone II|งานซ่อม โฟมที่กั้น Flag barrier เนื่องจากการใช้งานผิดวิธี,Safety Sensors,
เติมสารดับเพลิงเคมี ขนาด 10 ปอนด์,Fire Extinguisher Powder,
3E,Counters,
"สติ๊กเกอร์อิงค์เจทติดพลาสวูด 1 ด้าน ""Hea",Packaging Labels,application -|brand -|coating -|color -|content -|form -|item -|material -|model -|piece -|reflective -|size -|thickness -
ค่าตรวจสุขภาพก่อนเข้าทำงาน นายจักรพันธ์ ต้านกลางดอน,Employee Physical Screening Service,
เทปวัดระยะ 100 เมตร,Tape Measures,
คอยล์หัวเทียน,Ignition Cable,
ค่าตรวจสุขภาพก่อนเข้าทำงาน นายอัชชา รอดพรมมา,Employee Physical Screening Service,
CM25333949:Air Cleaner (เครื่องกรองอากาศ):ปรับปรุงซ่อมแซม,Air Purifier Parts,
หลอดไฟล่อแมลง UVA ขนาด 15 W / Insect Attractants Lamps,Electric Mosquito Killers,
ค่าดำเนิการและอุปกรณ์,Operating Lease Finance Service,
ค่าตรวจสุขภาพพนักงาน-ดวงใจ เกลียวกลาง,Employee Physical Screening Service,
"CM July 2025, งานเปลี่ยน Track Light Led Driver @ True Branding Shop สาขา True Tower 1
Quotation No Q 680560
TT 954111",Commercial Track Light,
งานทำความสะอาดป้ายที่จอดรถ 15 นาที,Sign Installation And Maintenance Service,item 
ค่าตรวจสุขภาพพนักงานก่อนเริ่มงาน  คุณศิริลักษณ์  เงินทอง  Staff1 - Customer Service,Employee Physical Screening Service,
ค่าตรวจสุขภาพพนักงาน-นางสาวชมพูนุช กลกลาง,Employee Physical Screening Service,
Ammonium sulphamate,Other Inorganic Salts,
Mount EMI Filter Schaffner FN2060-10-06,Power Line Filter Modules,
"วัสดุดูดซับน้ำมันชนิดท่อน ขนาด 8""x10""",Flexitanks,
โครงการทำเงิน_Arctic Coke_16313,Coke Fuel,
ค่าขนส่ง FLOAT SWITCH,Flow Switches,
"ค่าที่พัก, งานรื้อถอนป้าย Pylon Sign Dtac center(COCO) Big C Ranong; No.041/68",Sign Installation And Maintenance Service,item -
โครงการทำเงิน_Arctic Coke_7324,Coke Fuel,
โครงการทำเงิน_Arctic Coke_18815,Coke Fuel,
SP25005864:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
Iodine resublimed 100 G/BT,Chemical Auxiliary Agent,brand -|item -|model -|piece -|volume -
"B-รถยกน้ำมันเบอร์10-กระจกส่องข้าง|MIRROR SUB-ASSY,BAC",Car Mirrors,
"B-รถยกน้ำมันเบอร์01-LED-BLUELIGHT+หลอดไฟ|MIRROR SUB-ASSY, BAC",Car Mirrors,
ขาแขวนผนังแบบ ยืด หด สวิงซ้าย ขวา,Tv Mounts & Carts,
Router TP-LINK ARCHER C6 V4 AC1200,Routers,
ค่าบริการจัดส่งสินค้าตรงถึงสาขา 17 สาขา,Road Freight,item 
60340347 ฉากรับชั้นเหล็ก 10x12นิ้ว HAFEL,Brackets,
SZD062_เครื่องฆ่าเชื้อดับกลิ่น รุ่น Compact as of Mar'25• ระงับเชื้อแบคทีเรียอย่างได้ผล• ขจัดกลิ่นอันไม่พึงประสงค์ เพื่อสร้างบรรยากาศความสะอาด• สามารถใช้งานได้ทั้งโถปัสสาวะชายและหญิง• สามารถตั้งเวลาการทำ งานได้ตามการใช้งานที่เหมาะสม,Indoor Uv Disinfection Lamp,
Mouse - Com7 for April 2025,Mouse,
SZD062_เครื่องฆ่าเชื้อดับกลิ่น รุ่น Compact as of Feb'25• ระงับเชื้อแบคทีเรียอย่างได้ผล• ขจัดกลิ่นอันไม่พึงประสงค์ เพื่อสร้างบรรยากาศความสะอาด• สามารถใช้งานได้ทั้งโถปัสสาวะชายและหญิง• สามารถตั้งเวลาการทำ งานได้ตามการใช้งานที่เหมาะสม,Indoor Uv Disinfection Lamp,
"งานเปลี่ยน Keyboard

",Keypads & Keyboards,
"SP25006334:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409190 Y2024 สายพานA-40 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
Bบำรุง/บรรจุ/NEEDLE BAR CONNECTING ASS'Y|NEEDLE BAR CONNECTING ASS'Y,Shoemaking Machine Parts,
4093176 เมาส์ไร้สาย สีน้ำเงิน นับโว NMB0,Mouse,
อะไหล่ชุดตัด ARCTECH,Other Welding & Soldering Supplies,
PB7578270 Stopper,Vehicle Maintenance And Repair Services,item -
เทปวัดที่สายใยแก้ว PUMPKIN #11301 30m,Tape Measures,
PB211495 Gas suspension( SF),Other Suspension Parts,
SP25004310:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
สายออกซิเจนผู้ใหญ่NASAL CANNULA,Stomach Tube,
อุปกรณ์พยุงหลังเสริมแกนโลหะ เบอร์ L PROS,Shock Absorber Springs,
TF-006 MICRO SWITCH[039-TPS-00139],Micro Switches,
เทปวัดที่ 50 เมตร STANLEY,Tape Measures,
บังโคลนหน้ามอเตอร์ไซด์ Wave,Vacuum Booster Assy,
"METHYL SULFONE, 98%",Cyanide & Cyanate,
SP25002062:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
Tripod Fotopro DIGI 9300,Tripod,
เทปวัดที่ 100 เมตร DEWALT,Tape Measures,
บัตรตอกเวลา Vertex (100 ใบ/แพ็ค),Other Office & School Supplies,
ค่าตรวจสุขภาพก่อนเข้าทำงาน นางสาวจารุวรรณ เทียมโฮม,Employee Physical Screening Service,
ค่าบริการ ปะยาง,Vehicle Maintenance And Repair Services,item -
"กลอง8""",Drum,
ชุดอุปกรณ์ติดตั้งขาตัว L เล็ก BETA BT-03,Brackets,
"ขต.PVC_สามตาเกลียวใน 18 (1/2"")",Pipe Fittings,angle -|brand -|class -|color -|externalthread -|internalthread -|item -|length -|material -|model -|numberofway -|selfit -|shape -|size -|slotted -|thickness -|type -
"SP24000047:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409026 Y2024 ซิลิโคนดำ(SONY) ""SONY""  1 อัน",Camera Accessories,
"SP25005654:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409026 Y2024 ซิลิโคนดำ(SONY) ""SONY""  1 อัน",Camera Accessories,
"SP25002049:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409026 Y2024 ซิลิโคนดำ(SONY) ""SONY""  1 อัน",Camera Accessories,
"SP25000859:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409026 Y2024 ซิลิโคนดำ(SONY) ""SONY""  1 อัน",Camera Accessories,
"SP24000716:Parts (ซื้ออะไหล่):งานซ่อมบำรุงประจำเดือน (PM):1409026 Y2024 ซิลิโคนดำ(SONY) ""SONY""  1 อัน",Fuser Rollers,
"SP25001419:Parts (ซื้ออะไหล่):จ่ายค่าอะไหล่:1409026 Y2024 ซิลิโคนดำ(SONY) ""SONY""  1 อัน",Camera Accessories,
"SP25000462:Parts (ซื้ออะไหล่):จ่ายค่าอะไหล่:1409026 Y2024 ซิลิโคนดำ(SONY) ""SONY""  1 อัน",Camera Accessories,
สายไฟ VAF 2x2.5 sqmm. สีขาว,Power Cables,application -|brand -|color -|item -|length -|model -|size -|type -
ANITECH WIRELESS PRESENTER A91 BLACK|สำหรับใช้ในการประชุม อบรม,Visual Presenter,
Magnetic water and corrosion resistant,Phosphate Coating Chemicals,
NUTRIENT AGAR,Glial,
60372131 ไม้แขวนเสื้อหัวเหล็ก ตัวเคลือบP,Clothes Racks & Rails,
"แท่นวางโน๊ตบุ๊ก BEWELL 10 - 17.3""",Card Holder & Note Holder,
นายโสภณเดชน์ ดนุเชษฐ์ แผนก Sales Executive/B2B,Temporary Human Resources Services,item 
5001291 กระดาษกลอสซี่อิงค์เจ็ทA4 180แกรม,Photo Paper,
Sleeve,Automotive And Light Truck Maintenance And Repair,
ไส้ความร้อน,Cushioning Materials,
"SP25005230:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409303 Y2024 สายพานB-86 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
"SP25005738:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409303 Y2024 สายพานB-86 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
"SP25004833:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409303 Y2024 สายพานB-86 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
เมาส์ไร้สาย ดำ Logitech M331,Mouse,
SP25003609:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
Ext.Slim DVD RW ASUS SDRW-08U9M-U Black,Optical Drives,
4003323 แผ่นรองเมาส์ชนิดหมอนรองข้อมือ สี,Mouse Pads,
ตาข่ายวอลเลย์บอลชนิดแข่งขันYA0049,Volleyball,
BIG CONDIMENT HOLDER WITH 6 BLACK,Herb & Spice Tools,
"จอแสดงผลตัวเลขแบบ7เซกเมนต์4หลัก ขนาด 4""",Segment Displays,
Re-brand เสื้อกั๊ก Set up ติดซิปสกรีนโลโก้ Size XL,Reflective Safety Clothing,
Standard Weight Cast Iron (M1) 10kg.,Free Weights,
งานเพิ่ม 23061 ตลาดกันจุ บึงสามพัน(1),Shops,item -
847601 #เทียนพรรษาNO.4(5X60),Tea Lights,
ระดับน้ำแม่เหล็ก PUMPKIN 2820698B-MT48 4,Levels,
60371170 โคมไฟแต่งสวนปักดินโซล่าเซลล์ 0.,Garden Lights,
ระดับน้ำแม่เหล็ก PUMPKIN 25B-24 24 นิ้ว,Levels,
1000069474;6800;2071810กรรไกรSCOTCH7/CAT1427MP;;กรรไกร 7 นิ้ว สก๊อตช์ Multi Purpose 1427,Scissor & Shear,application -|bladetype -|brand -|color -|item -|material -|model -|size -
ชุดคีย์บอร์ดและเมาส์ไร้สาย Logitech |MK270R,Mouse,
เครื่องวัดระยะทางด้วยเลเซอร์,Laser Distance Meters,
Tanqueray gin,Gin,
CM25153079:Washing Machines (เครื่องล้างจาน):ปรับปรุง-เปลี่ยนแทนของเดิม,Dish Washer Parts,
คีมปอกสายไฟ STANLEY 84-214 5.25 นิ้ว เหล,Plier,brand stanley|color -|insulator -|item -|model -|size -|tiptype -|type -
MOUSE กนกวรรณ์|LOGITECH SILENT WIRELESS MOUSE MOUSE M221-CH,Mouse,
หัวปรับแรงดันต่ำ TECNO STAR TNS RL 260 B,Kitchen Faucets,
Safety Sensor (TL-W5MD1 [SPS-SENSOR-002],Safety Sensors,
"(TS) 2678 Pong , Pha Yao (RF)",Wireless Infrastructure Equipment,
Grease Buster,Grease Guns,
ค่าเรือเกาะสมุย (ไป-กลับ),Sightseeing Boat Excursions,
Usb for SPP- R310,Sensor Kits And Cable Assemblies,
ระดับน้ำ I-BEAM STANLEY STHT42076-8 48?,Levels,
ลูกถ้วยบัสบาร์ขนาด 76MM. พร้อมน็อต,Other Connectors & Terminals,
HikCentral-P-ACS-1Door,Door Phones,
"(TK) 2399 Phra Thong Kham, Nakhon Ratchasima (RF)",Construction Services,item -
สายวัดระยะ / ตลับเมตร ยาว 20 เมตร,Tape Measures,
ไฟดาวตก 80ซม.,Other Holiday Lighting,
"(TK) 2541 Talad Ban Chiang Mai , Roi Et (RF)",Construction Services,item -
#03-08 Inching Switch (LA18-22),Other Switches,
"(TK) 2474 Tungsaliam , Sukhothai  (RF)",Rf Transceiver Modules And Modems,
คีย์บอร์ดมีสาย RAPOO NK2400 สีดำ,Computer Keypads,
"INV.BK6803-0228
Dove
2.ค่า Spray",Warehouse Services,brand -|item -|period -
IN2025-03837 Filler Block-Nylon (ไนล่อนประคองใบเลื่อย),Other Hand Tools,
ผ้าคลุมกล้องจุลทรรศน์ ขนาด56x56.5x37cm.,Other Safety Products,
ค่า Sim สำหรับใช้กับ Note Book ผู้บริหาร ประจำงวด 02/03/68 - 01/04/68  K.Tanit  CEO,Mobile Phone Sim Cards,brand -|item |model -|type -
Sim สำหรับใช้กับ Note Book ผู้บริหาร งวดวันที่ 02/01/68 - 01/02/68 K.Tanit CEO,Mobile Phone Sim Cards,brand -|item |model -|type -
เทปวัดไฟเบอรก์ลาสDEWALT DWHT34067100M,Tape Measures,
กระเป๋าเป้ สำหรับแลกเงินจากธนาคาร (Bag) สีเขียว,Kitchen Knives,
SP25000669:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
PRICE TAG,Counters,
ชุดขาแขวนทีวีแบบฟิตปรับองศาได้ 37-70นิ้ว,Projection Screens,
ขาตั้งเทียนแบบเหล็ก (ดอกบัว) 9 CM.,"Wood Candle Holders, Lanterns, & Candle Jars",
847528 #เทียนพรรษาเรียบ7X70 ซม (คู่),Party Tableware & Table Decorations,
"SP25002548:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1408927 Y2024 เศษผ้าเป็นผืน(25KG./ถุง) ""GENERAL""  1 อัน",Ironing & Washing Equipment Parts,
"SP25002173:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1408927 Y2024 เศษผ้าเป็นผืน(25KG./ถุง) ""GENERAL""  1 อัน",Ironing & Washing Equipment Parts,
5N-500AA-S NI-Cd Battery 6V,Nickel Cadmium Batteries (nicd),
"Reagent bot, clear, with screw cap and pouring rin",Laboratory Bottles,
หุ่นมือจำลอง (มือขวา),Animals & Dinosaurs,
"FR_VD25-Stem O-ring (V32142),FR_VD25-STEM O-RING (V32142)",Seals,application -|brand -|item -|material -|model -|piece -|size -
"B-IODINE RESUBLIME AR, ACS|IODINE RESUBLIME AR, ACSCAS 7553-56-2 100 g ใช้สำหรับเตรียมสารย้อมสี ใบเสนอราคาเลขที่ SQ25020411",Chemical Reagents,"brand -|item iodineresublimear,acscas|model 7553-56-2|piece -|volume 100g"
ค่าตรวจสุขภาพพนักงานก่อนเข้าทำงาน K.ณัฐกิตย์ เชิงแก้ว Staff1 NF,Employee Physical Screening Service,
สัญญาบริการซ่อมบำรุงเครื่องนับธนบัตรรายปี 4/4 (ต่างจังหวัด),General Office Equipment Maintenance,
สัญญาบริการซ่อมบำรุงเครื่องนับธนบัตรรายปี 2567 (ต่างจังหวัด),General Office Equipment Maintenance,
ค่าบริการซ่อมบำรุงเครื่องนับเหรียญ  No.1512058  งวดที่  4  เดือน  ต.ค.-ธ.ค.2567,Atms,
สัญญาบริการซ่อมบำรุงเครื่องนับธนบัตรรายปี 3/4 (ต่างจังหวัด),General Office Equipment Maintenance,
ค่าบริการเครื่องธนบัตร CO-AIM สัญญาเลขที่ 002-68 เรื่มสัญญา 1ม.ค.68-31ธ.ค.68 งวดที่ 1,Currency Binders,
ค่าบริการเครื่องธนบัตร CO-AIM สัญญาเลขที่ 001/67 เรื่มสัญญา010167-311267 งวดที่4,Currency Binders,
สายไฟ THW 2.5SQMM. สีน้ำตาล,Power Cables,application -|brand -|color -|item -|length -|model -|size -|type -
สายไฟ THW 2.5SQMM. สีเขียว-เหลือง,Power Cables,application -|brand -|color -|item -|length -|model -|size -|type -
"SP25002321:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409299 Y2024 สายพานB-82 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
ผ้าปูโต๊ะเหลี่ยมลูกไม้ SAVEPAK,Place Mats,
ค่าซ่อมปะยาง,Vehicle Maintenance And Repair Services,item -
Kingston RAM 16GB (KVR32S22S8/16),Rams,
ถ่าน Panasonic Size D สีเขียว (1x1) ;200,Other Office & School Supplies,
"SP24000228:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409314 Y2024 สายพานB-98 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
"FR_Service , EPDMLKC-2 51_6-9611 92 4007,FR_SERVICE , EPDMLKC-2 51_6-9611 92 4007",Other Lab Supplies,"brand -|item epdmlkc-2(51_6-96114007,fr_service)|model -|piece -|size -|volume -"
เมาส์ไร้สาย Logitech M650 สีดำ,Mouse,
"SP24000662:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25003186:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25002447:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25002282:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25004488:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25002885:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP24000714:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP24000676:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25001895:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25001467:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25001780:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25004198:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25002789:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
"SP25004818:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1407937 Y2024 ก๊อกน้ำอ่างซิ้งSWEETHOME #K-950แบบติดกำแพง ""SWEETHOME"" 1 อัน",Other Faucet Accessories,
ขาตั้งเทียนกลีบบัว7ซม.847565,"Wood Candle Holders, Lanterns, & Candle Jars",
B-จักรยาน-เบาะจักรยาน|งานบำรุงรักษาเบาะจักรยาน ภายในโรงงาน,Bicycle Saddle,
WASHDOWN #01 [403-23-ETH0 [403-23-ETH02],Talc,
ยางขอบประตู,Stoppers,
RAM 8GB for Notebook Dell 3410,Rams,
Meat copper Repair Bowl end ring,Meat Grinder Parts,
(PK) แผ่นใสสำหรับถ่ายเอกสาร/เขียน อิมพีเรียล ชนิด เขียน,Master Rolls,
งานเดินสาย VCT 3 x 16 SQ.MM.,Electrical System Services,item -
Logitech Wireless Mouse+Keyboard LERTLAK|Logitech Wireless Combo MK270r Mouse+Keyboard,Keyboard Mouse Combos,
PM25062814:Escalators (บันไดเลื่อน):PM,Escalator Installation Or Maintenance Or Repair Service,item -
ระดับน้ำตอร์ปิโด Milwaukee 48-22-5207V,Levels,
ไดร์เป่าผมLESASHA เทรนดี้,Hair Dryer,
"SP25006027:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409508 Y2024 ชุดปุ่มกดชำระTOTO #S-353(ใช้กับTS-402) ""COTTO/TOTO"" 1 ชุด",Tank Levers,
ขาตั้งเทียนแบบเหล็ก 7ซม.  (1X1),"Wood Candle Holders, Lanterns, & Candle Jars",
IN2025-04947 : 30% งานซ่อม Racking system Safety after earthquake Dry Food,Shelving Units,application -|brand -|item -|material -|model -|numberofshelf -|size -
"เบาะรองนั่งไหว้พระ 60x60cm หนา2"" น้ำเงิน",Poufs,
เชิงเทียนทรงดอกบัว Led แบบใส่ถ่าน LUZINO,"Plastic Candle Holders, Lanterns And Candle Jars",
"SP25003472:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409026 Y2024 ซิลิโคนดำ(SONY) ""SONY""  1 อัน",Camera Accessories,
0060 Star grip,Fitness Accessories,
งานเดินสาย 1C-CV 0.6/1kv 4 SQ.MM.,Electrical System Services,item -
Cable Glandสแตนเลส RohsเกลียวPG-19,Cable Glands,
3SA48002-5; THERMISTOR  4019008,Thermistors,
ชุดประดับชาย/หญิง (2 กล่อง),School Uniforms,
N0.252 84H 170003B GU [025-KD8013-00044],Other Watch Accessories,
ค่ายางครอบหัวกรอง AUTO (2 หัว ),Sieves,
"SP25004504:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1408158 Y2024 LIMIT SWITCH Z-15 GW 2B OMRON ""OMRAN"" 1 ชิ้น",Limit Switches,
งานเพิ่ม 22586 บางแสนล่าง ซ.6(1),Shops,item -
กาละมังพลาสติก สีฟ้า 12 No.327,Kitchen Knives,
BB5210074ดินสอ เอลเฟ่น HB-2002 (12 แท่ง/กล่อง)(กล่อง),Other Office Equipment,
เปลี่ยนถังน้ำมัน 4 จังหวะ,Gasoline Pump Installation Service,
"SP25004807:Parts (ซื้ออะไหล่):สต็อกอะไหล่เครื่องมือขาด:1409248 Y2024 สายพานB-154 ""MITSUBOSHI/Bando"" 1 เส้น",Tensioner & Belts,
31FAS-SIS001900,Other Hardware,
Refractometer S/N:517165 Range:10  30  50%BRIX,Refractometers,
ค่าตรวจสุขภาพก่อนเข้าทำงาน น.ส.ธานิยา อยู่เปี่ยม,Employee Physical Screening Service,
BRILLIANT GREEN,Cobbles & Pebbles,
"Printed circuit (1689312) 
",Double-sided Pcb,
Seevice,Bench Vises,
Inductor ยี่ห้อ WZXHFL รุ่น 100uH CD75,"Inductors, Coils",
ค่าตรวจสุขภาพก่อนเข้าทำงาน นายอนุสิทธิ์ นิลนิทัศน์,Employee Physical Screening Service,
ที่พักสำหรับทีมงาน,Motels Rental Service,
Transportion & CAMP,Inland Water Transport Of Passengers By Ferry,
ค่าแรงติดตั้ง/ค่าขนส่ง+วัสดุสิ้นเปลืองต่างๆ,Stoppers,
CM25005352 ค่าแรง,Vehicle Maintenance And Repair Services,item 
วัสดุสิ้นเปลือง-เพลาจักรยาน|เพลาจักรยาน,Bicycle Drivetrain Components,
นางสาวนันท์นภัส  ด้วงจันทร์,Other Fresh Vegetables,brand -|grade -|item -|model -|processing -|weight -
CM25003163 ค่าบริการ,Vehicle Maintenance And Repair Services,item 
ป้ายราคา,Counters,
"MTG สอบเทียบเครื่องมือ-Clamp Digital meter, Model: 2300R, S/N: 931585, Brand: KYORITSU 
",Clamp Meters,
ตู้เตี้ยชั้นโล่ง (F792 WCS) (สีเชอรี่/ดำ)/Cabinet  size 80*40*81 cm. # C 792 WCS,Cabinet Organizers,
Refractometer S/N:0528032 Range:0-30 Brix,Refractometers,
Painting Color,Water Color,
ค่าตรวจสุขภาพก่อนเข้าทำงาน น.ส.ชมนาต น้อยสกุล,Employee Physical Screening Service,
ค่าตรวจสุขภาพพนักงาน ก่อนเริ่มงาน (นายวิวัฒน์  ฉบับตรง),Employee Physical Screening Service,
"MTG สอบเทียบเครื่องมือ-Digital Multimeter, Model: 187, S/N: 92240274, Brand: Fluke ",Multimeters,
"1000025490;8300;SERVICE,DOCUMENT STORAGE SERVICE;;",Storage Services,
